 ;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Zápasy;PPP;Body;Góly;Asistence;Ø TOI;+/-;TM;HITY;BLOKY;ÚSP. Vhazování
;Tomáš;Cibulka;26/27+1;O;CBU;0;L;CZE;;;;;;;;;;;;;
;Milan;Doudera;-;O;CBU;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Kachyňa;-;O;CBU;0;L;CZE;;;;;;;;;;;;;
;Pavel;Pýcha;26/27;O;CBU;0;L;CZE;;;;;;;;;;;;;
;Jan;Štencel;27/28;O;CBU;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Vála;27/28;O;CBU;0;L;CZE;;;;;;;;;;;;;
;Roman;Vráblík;27/28;O;CBU;0;L;CZE;;;;;;;;;;;;;
;Martin;Beránek;27/28;RW;CBU;0;L;CZE;;;;;;;;;;;;;
;Michal;Bulíř;27/28;C;CBU;0;L;CZE;;;;;;;;;;;;;
;Tomáš;Chlubna;-;RW;CBU;0;P;CZE;;;;;;;;;;;;;
;Brant;Harris;26/27+1;C;CBU;0;P;CAN;;;;;;;;;;;;;
;Štěpán;Hoch;-;C;CBU;0;L;CZE;;;;;;;;;;;;;
;Matyáš;Humeník;26/27+1;RW;CBU;0;P;CZE;;;;;;;;;;;;;
;Matěj;Kašlík;-;C;CBU;0;L;SVK;;;;;;;;;;;;;
;Josef;Koláček;-;RW;CBU;0;L;CZE;;;;;;;;;;;;;
;Adam;Kubík;-;LW;CBU;0;L;CZE;;;;;;;;;;;;;
;Robert;Lantoši;27/28;RW;CBU;0;P;SVK;;;;;;;;;;;;;
;Pavel;Novák;-;RW;CBU;0;P;CZE;;;;;;;;;;;;;
https://raw.githubusercontent.com/Adamos1511/ELH-web/main/foto_hrac/Olesen.png?v=2;Nick;Olesen;27/28;LW;CBU;30;L;DEN;185;84;42;14;38;13;25;19:34;-10;16;9;10;55,79% (190/106)
;Jan;Ordoš;27/28;RW;CBU;0;P;CZE;;;;;;;;;;;;;
;Filip;Přikryl;-;C;CBU;0;L;CZE;;;;;;;;;;;;;
;Matěj;Toman;27/28;LW;CBU;0;L;CZE;;;;;;;;;;;;;
;Jéremie;Blain;-;O;KLA;0;P;CAN;;;;;;;;;;;;;
;Martin;Jandus;-;O;KLA;0;P;CZE;;;;;;;;;;;;;
;Martin;Matějíček;-;O;KLA;0;L;CZE;;;;;;;;;;;;;
